Genome,Bi_BB1_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB1_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB1_1_host_removed_R1.fastq.gz RPKM,Bi_BB1_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB1_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB1_2_host_removed_R1.fastq.gz RPKM,Bi_BB2_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB2_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB2_1_host_removed_R1.fastq.gz RPKM,Bi_BB2_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB2_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB2_2_host_removed_R1.fastq.gz RPKM,Bi_BB3_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB3_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB3_1_host_removed_R1.fastq.gz RPKM,Bi_BB3_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB3_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB3_2_host_removed_R1.fastq.gz RPKM,Bi_BP_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_BP_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BP_1_host_removed_R1.fastq.gz RPKM,Bi_BP_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_BP_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BP_2_host_removed_R1.fastq.gz RPKM,Bi_CM_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_CM_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_CM_1_host_removed_R1.fastq.gz RPKM,Bi_CM_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_CM_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_CM_2_host_removed_R1.fastq.gz RPKM,Bi_FG_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_FG_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_FG_1_host_removed_R1.fastq.gz RPKM,Bi_FG_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_FG_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_FG_2_host_removed_R1.fastq.gz RPKM,Bi_MB_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_MB_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_MB_1_host_removed_R1.fastq.gz RPKM,Bi_MB_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_MB_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_MB_2_host_removed_R1.fastq.gz RPKM,Bi_ML_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_ML_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_ML_1_host_removed_R1.fastq.gz RPKM,Bi_ML_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_ML_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_ML_2_host_removed_R1.fastq.gz RPKM,Bi_PI_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_PI_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_PI_1_host_removed_R1.fastq.gz RPKM,Bi_PI_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_PI_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_PI_2_host_removed_R1.fastq.gz RPKM,Br_CM_1_host_removed_R1.fastq.gz Trimmed Mean,Br_CM_1_host_removed_R1.fastq.gz Relative Abundance (%),Br_CM_1_host_removed_R1.fastq.gz RPKM,Br_CM_2_host_removed_R1.fastq.gz Trimmed Mean,Br_CM_2_host_removed_R1.fastq.gz Relative Abundance (%),Br_CM_2_host_removed_R1.fastq.gz RPKM,Br_FG_1_host_removed_R1.fastq.gz Trimmed Mean,Br_FG_1_host_removed_R1.fastq.gz Relative Abundance (%),Br_FG_1_host_removed_R1.fastq.gz RPKM,Br_FG_2_host_removed_R1.fastq.gz Trimmed Mean,Br_FG_2_host_removed_R1.fastq.gz Relative Abundance (%),Br_FG_2_host_removed_R1.fastq.gz RPKM,Br_ML_1_host_removed_R1.fastq.gz Trimmed Mean,Br_ML_1_host_removed_R1.fastq.gz Relative Abundance (%),Br_ML_1_host_removed_R1.fastq.gz RPKM,Br_ML_2_host_removed_R1.fastq.gz Trimmed Mean,Br_ML_2_host_removed_R1.fastq.gz Relative Abundance (%),Br_ML_2_host_removed_R1.fastq.gz RPKM,Bt_CM_1_host_removed_R1.fastq.gz Trimmed Mean,Bt_CM_1_host_removed_R1.fastq.gz Relative Abundance (%),Bt_CM_1_host_removed_R1.fastq.gz RPKM,Bt_MB_2_host_removed_R1.fastq.gz Trimmed Mean,Bt_MB_2_host_removed_R1.fastq.gz Relative Abundance (%),Bt_MB_2_host_removed_R1.fastq.gz RPKM,Bt_ML_1_host_removed_R1.fastq.gz Trimmed Mean,Bt_ML_1_host_removed_R1.fastq.gz Relative Abundance (%),Bt_ML_1_host_removed_R1.fastq.gz RPKM,Bt_ML_2_host_removed_R1.fastq.gz Trimmed Mean,Bt_ML_2_host_removed_R1.fastq.gz Relative Abundance (%),Bt_ML_2_host_removed_R1.fastq.gz RPKM,Bv_BP_2_host_removed_R1.fastq.gz Trimmed Mean,Bv_BP_2_host_removed_R1.fastq.gz Relative Abundance (%),Bv_BP_2_host_removed_R1.fastq.gz RPKM,Bv_ML_1_host_removed_R1.fastq.gz Trimmed Mean,Bv_ML_1_host_removed_R1.fastq.gz Relative Abundance (%),Bv_ML_1_host_removed_R1.fastq.gz RPKM,Bv_ML_2_host_removed_R1.fastq.gz Trimmed Mean,Bv_ML_2_host_removed_R1.fastq.gz Relative Abundance (%),Bv_ML_2_host_removed_R1.fastq.gz RPKM,Bv_PI_1_84_host_removed_R1.fastq.gz Trimmed Mean,Bv_PI_1_84_host_removed_R1.fastq.gz Relative Abundance (%),Bv_PI_1_84_host_removed_R1.fastq.gz RPKM,Bv_PI_2_host_removed_R1.fastq.gz Trimmed Mean,Bv_PI_2_host_removed_R1.fastq.gz Relative Abundance (%),Bv_PI_2_host_removed_R1.fastq.gz RPKM,Bi_KP1_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP1_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP1_1_host_removed_R1.fastq.gz RPKM,Bi_KP1_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP1_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP1_2_host_removed_R1.fastq.gz RPKM,Bi_KP2_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP2_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP2_1_host_removed_R1.fastq.gz RPKM,Bi_KP2_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP2_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP2_2_host_removed_R1.fastq.gz RPKM,Bi_KP3_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP3_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP3_1_host_removed_R1.fastq.gz RPKM,Bi_KP3_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP3_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP3_2_host_removed_R1.fastq.gz RPKM
unmapped,NA,76.13209,NA,NA,75.5523,NA,NA,81.70608,NA,NA,85.774155,NA,NA,9.694756,NA,NA,76.99526,NA,NA,52.660263,NA,NA,41.809864,NA,NA,23.175598,NA,NA,61.476112,NA,NA,11.526388,NA,NA,56.41129,NA,NA,10.931748,NA,NA,53.441917,NA,NA,41.896904,NA,NA,17.18049,NA,NA,76.63133,NA,NA,81.582085,NA,NA,71.685005,NA,NA,59.15606,NA,NA,45.260345,NA,NA,56.541706,NA,NA,57.00891,NA,NA,56.979786,NA,NA,80.84705,NA,NA,3.6156058,NA,NA,81.14366,NA,NA,82.18353,NA,NA,97.86334,NA,NA,98.02253,NA,NA,90.50108,NA,NA,97.92421,NA,NA,97.903755,NA,NA,55.88271,NA,NA,45.891052,NA,NA,75.53331,NA,NA,32.648205,NA,NA,59.639133,NA,NA,34.623814,NA
maxbin2_Br_FG_1_bin.002_sub,0,0,0,0,0,0,0,0,0,0.06432953,0.04239181,1.0659397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093030676,0.09524317,0.8694117,0,0,0,0,0,0,0,0,0,0.07146857,0.089988686,0.6995684,0,0,0,0,0,0,0,0,0,0,0,0,7.996688,0.27138025,3.3620398,18.635012,18.216696,40.74808,15.928065,6.4502063,22.92968,23.94567,15.3897705,37.913322,23.38357,12.820474,35.752674,21.767536,17.576214,39.287937,0,0,0,0,0,0,0,0,0,0,0,0,0.7588366,0.1761329,16.89938,0.5152728,0.11186867,14.412764,0.48888907,0.101107344,3.246132,0.52710676,0.27012417,18.891375,0.60863465,0.17555453,16.144625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metabat2_Br_FG_1_bin_.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.04869,5.2618318,39.155853,204.66582,4.330937,26.060785,0,0,0,0,0,0,0,0,0,0.29898754,0.017046507,0.059058808,7.902261,0.73477274,6.235826,69.20473,2.5249114,18.104479,55.045967,1.2143503,4.7887635,0,0,0,0,0,0,23.766321,0.62114894,8.67414,0,0,0,65.898766,6.651868,23.295628,51.58805,7.5680304,17.83767,0,0,0,1.2436033,0.3128742,0.67474914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxbin2_Bi_KP1_2_bin.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.604437,0.7128674,6.644125,1.7718565,0.38430026,2.9849565,6.651919,0.71666265,4.3515115,0.6961299,0.3202333,3.5312598,3.0748625,0.102943316,0.36188763,84.31935,4.747942,46.442875,0.44790643,0.028061666,0.10439055,0,0,0,4.950336,0.4534381,3.3724852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.23297,3.4015424,33.768604,94.0904,6.0577374,50.763145,0,0,0,2.164854,0.23541617,1.580011,0.12801178,0.210719,2.5389137,34.193096,1.7232138,11.269069
metabat2_Bi_ML_2_bin_.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.77856,6.5142245,48.399883,287.8556,5.9387774,35.714214,15.698554,1.0052619,9.888851,0,0,0,0,0,0,10.235139,0.2543012,0.8752586,73.55729,5.237754,44.375694,42.59521,1.5815638,11.333939,57.446285,1.2810125,5.044626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3816235,0.28994665,0.68534106,0,0,0,0.19501127,0.076860175,0.16619332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxbin2_Bi_KP3_2_bin.010,2.0390944,1.6094242,26.88823,2.7554355,1.6625646,30.249224,2.6317787,0.6759315,16.351227,2.4665313,1.9122099,52.456573,38.255356,0.690832,3.2081869,3.141655,1.5377662,29.34008,1.96468,1.4389678,14.79782,4.931637,1.0717008,8.727439,8.122641,0.47593865,3.0537398,2.6883638,2.0080106,22.423862,0.4292036,0.050554775,0.19139355,2.5942352,1.3191626,14.379001,0.34405008,0.11816768,0.46163294,1.7883509,1.4867202,14.306945,4.793841,0.97666025,7.865833,0.15224972,0.18685707,0.8745164,2.013425,3.8006544,38.436375,1.3399471,3.4087243,40.77943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3114686,1.3472579,14.561149,1.8487927,1.063817,9.904861,20.97454,3.4795783,57.69348,38.713364,2.0079308,13.095759,9.129469,1.8910418,22.07656,118.40815,4.812402,30.91326
maxbin2_Bi_KP2_1_bin.009,0.05809989,0.029101443,0.4531824,26.000933,2.3429132,38.00283,7.695933,0.4101056,8.977442,1.7568969,0.16577744,4.0086746,136.00774,1.8836584,8.7646475,57.270935,4.3093796,75.00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14174522,0.061203,0.61352843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.925242,0.74315125,7.4544215,2.8572752,0.37749094,3.208991,32.73339,2.836982,44.545887,181.4909,7.996959,50.974995,47.847237,3.3933854,35.984974,34.752686,2.638579,17.261957
concoct_Bi_ML_1_bin_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6284026,0.07939726,0.7137715,5.134738,0.2266039,1.6923367,30.92055,0.7394799,4.4555507,58.36143,4.372123,43.157703,3017.1316,82.866585,289.7089,0.8151163,0.051835362,0.50493526,3209.7053,84.290306,290.05496,42.354755,3.3173308,28.115202,21.37743,0.87149274,6.257449,2362.8557,59.823143,236.4834,7.749904,1.1723583,10.39716,0.19290072,0.09122649,0.98321193,0,0,0,0,0,0,30.494995,34.814335,124.04421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22662985,0.12691008,2.096795,0,0,0,0.38715833,0.045628313,4.168928,0,0,0,0,0,0,0,0,0,2.0466583,0.22528815,19.8631,0,0,0,0,0,0,0,0,0,0,0,0,0.16283901,0.031866234,0.3497801,0,0,0
maxbin2_Bi_BB3_1_bin.002,10.331085,1.2087134,18.34208,0,0,0,10.821521,1.1414202,25.17427,9.970734,1.2607329,31.170311,4581.149,62.0138,287.09018,0.5034837,0.559169,10.152129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6586215,0.34695065,3.6091762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxbin2_Br_ML_1_bin.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6992183,0.35362065,3.1788907,0.8585394,0.14864711,1.1128948,2.0106037,0.2006998,1.2151835,0.3417602,0.079173066,0.7808645,0.37054202,0.026287146,0.09249506,0,0,0,0,0,0,0,0,0,5.8838153,0.79319066,5.709165,1.3765472,0.15671949,0.6288816,5.7068553,0.80474216,7.099871,0,0,0,9.326213,0.580841,8.128951,0,0,0,0,0,0,0,0,0,46.41077,8.251396,22.286999,0,0,0,0,0,0,81.42269,2.6270292,11.023935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4719348,0.49413374,4.8892117,10.489273,0.95249665,7.9999375,0.25629982,0.08207626,1.2945908,6.755082,0.8988669,5.7603817,0,0,0,9.630577,1.2325929,7.9776883
maxbin2_Br_ML_1_bin.004,0,0,0,0,0,0,0,0,0,0,0,0,1.915545,0.03357798,0.14957303,0.3480994,0.07242255,1.3338385,16.871405,0.7628911,6.5217624,15.345952,0.668674,4.762588,60.22885,1.3717487,7.806149,0.82272416,0.109802805,1.1220073,7.585948,0.20092198,0.66209805,82.238945,3.900046,35.754196,1.863576,0.05783268,0.19052503,3.6605344,0.33683723,2.7742424,120.35324,4.829905,32.766094,89.84642,2.157923,8.037866,0,0,0,0,0,0,30.316921,0.84522015,11.292347,40.281147,19.167603,42.800484,18.65513,3.8879976,14.380128,50.930756,15.968768,39.773487,64.664566,17.466967,48.560318,41.56864,18.602394,42.401123,0,0,0,6.078763,0.32372865,1.2893325,0,0,0,0,0,0,0.3755981,0.18982477,19.08126,0,0,0,0,0,0,0.2977911,0.30651408,21.200653,0,0,0,0,0,0,24.549969,1.6644363,13.245237,0,0,0,116.24629,5.0995355,30.68016,0.20744161,0.06861694,0.80673695,36.39534,1.4752104,9.025774
maxbin2_Br_FG_2_bin.004,0,0,0,0,0,0,0,0,0,0.058436316,0.041876584,1.0153122,0,0,0,0,0,0,0,0,0,2.1200728,0.24166003,1.580269,3.7967982,0.28169543,1.4764278,0.28171352,0.07122105,0.6544401,0,0,0,0,0,0,0.088924706,0.061114363,0,0.71037334,0.19962585,1.5047553,0.42792633,0.06396756,0.4098868,0.38004282,0.08783627,0.31303152,0,0,0,0,0,0,2.1973722,0.094000585,1.2508533,10.273113,3.399148,6.715555,4.053771,0.9438185,3.1070776,21.063118,4.2417774,9.215171,12.939798,3.3198419,8.354591,12.630491,4.1163282,8.269931,0,0,0,0,0,0,0,0,0,0,0,0,0.5745013,0.1674678,15.64173,0.4485475,0.121905535,15.09009,0.44042224,0.100307755,3.280493,0.37888318,0.23036411,14.88499,0.5081479,0.18340424,16.600647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
