Sample,totalgenecount
Bi_BB1_1,51640964.16
Bi_BB1_2,88704124.43
Bi_BB2_1,234128794.4
Bi_BB2_2,85177463.74
Bi_BB3_1,313940112.5
Bi_BB3_2,74032230.46
Bi_BP_1,174238274
Bi_BP_2,49840241.03
Bi_CM_1,33317416.85
Bi_CM_2,46824147.39
Bi_FG_1,849330938.3
Bi_FG_2,49888499.34
Bi_KP1_1,47079315.39
Bi_KP1_2,45262789.69
Bi_KP2_1,59042898.6
Bi_KP2_2,75459866.51
Bi_KP3_1,31679727.55
Bi_KP3_2,108553038.8
Bi_MB_1,2686469831
Bi_MB_2,102269247
Bi_ML_1,78060413.78
Bi_ML_2,174917108.6
Bi_PI_1,34644261.91
Bi_PI_2,12265660
Br_CM_1,382374562.1
Br_CM_2,1147752.682
Br_FG_1,261190354.9
Br_FG_2,10371687.63
Br_ML_1,46713281.81
Br_ML_2,9302972.915
Bt_CM_1,2792289.751
Bt_MB_2,111009538.5
Bt_ML_1,2067106.77
Bt_ML_2,2958179.363
Bv_BP_2,9611272.007
Bv_ML_1,12240928.29
Bv_ML_2,28287396.86
Bv_PI_1,761985.1063
Bv_PI_2,4230439.672